RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
1,Menlo Electric,830.8,Poland,Energy & Utilities,150670601,186848,149,8,2020
2,Allica,652,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",100125351,228102,502,142,2019
3,Almedia,473.6,Germany,Advertising & Marketing,29440571,155991,24,1,2020
4,Olla Home Solution,442.7,Italy,Construction & Engineering,89632718,560677,12,1,2020
5,Raya,409.3,Italy,Wholesale,146456719,1108961,2,2,2020
6,Alpha General Contractor,349.2,Italy,Construction & Engineering,59657294,658258,114,3,2019
7,dieseo,348.1,Germany,Ecommerce,10806130,120129,29,5,2020
8,Kempower,343.5,Finland,Electrical Manufacturing,283600000,3252000,737,38,2017
9,Cykero,341.8,Germany,Waste management & recycling,12500000,145000,12,1,2020
10,Viridis Group,334.1,Italy,Construction & Engineering,18515952,226304,40,10,2015
11,Zilch,327.2,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",65900278,819020,239,34,2018
12,Chip,325.1,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",17419664,219673,114,58,2016
13,A1 Solar,313.2,Hungary,Energy & Utilities,10251970,153609,20,1,2019
14,Pixii,306.6,Norway,Energy & Utilities,62756986,1008278,124,33,2018
15,Kleidi,300.9,France,Construction & Engineering,16825366,261118,9,3,2019
16,Raylyst Solar,293.7,Czechia,Wholesale,90825137,1401112,27,2,2018
17,Venticento,290.9,Italy,Advertising & Marketing,6414664,107390,14,10,2020
18,SourceWhale,279.7,United Kingdom of Great Britain and Northern Ireland,IT & Software,7751011,137180,70,4,2019
19,Jackson Remediation,279.4,United Kingdom of Great Britain and Northern Ireland,Construction & Engineering,8828227,156575,7,4,2019
20,Envidev Consulting,279.3,Italy,"Professional, Scientific & Technical Services",9549646,175000,1,1,2020
21,Pecci,275.9,Italy,Construction & Engineering,85330451,1606566,76,16,2011
22,RideTandem,267.5,United Kingdom of Great Britain and Northern Ireland,Logistics & Transportation,7169616,139983,40,6,2019
23,BFY Group,266.2,United Kingdom of Great Britain and Northern Ireland,Management consulting,9547957,188274,38,11,2004
24,Just Russel,257.9,Belgium,Ecommerce,8908507,194373,29,2,2020
25,Pace,257.6,United Kingdom of Great Britain and Northern Ireland,Management consulting,9975736,211269,46,3,2020
26,Switcho,252.1,Italy,"Fintech, Financial Services & Insurance",6009454,137683,77,9,2019
27,WithU,245.8,United Kingdom of Great Britain and Northern Ireland,Leisure & Entertainment,6361628,148992,67,6,2019
28,Jeff,237.5,Latvia,"Fintech, Financial Services & Insurance",6641553,155982,30,7,2020
29,BizAway,237.1,Italy,Hospitality & Travel,72218580,1885630,237,47,2015
30,Pier Currà Architettura,236.9,Italy,"Professional, Scientific & Technical Services",4933717,128983,26,13,2017
31,Aria,234.6,France,"Fintech, Financial Services & Insurance",6132960,163651,32,5,2018
32,Kid-A,227.7,United Kingdom of Great Britain and Northern Ireland,Media & Telecommunications,5409255,148961,14,3,2019
33,Pathos Communications,222,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,6570081,190577,50,1,2019
34,SC Media House,221.1,Germany,Advertising & Marketing,4092383,123568,15,2,2020
35,Eva Consulting,220,Italy,Management consulting,4108345,125426,23,6,2017
36,Simmer Eats,219.5,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,5074861,150720,15,1,2018
37,Fairfamily Group,219.4,Germany,Management consulting,7837037,240473,43,5,2019
38,Elgin White Limited,217.6,United Kingdom of Great Britain and Northern Ireland,Management consulting,11713639,354368,8,2,2006
39,Energie de Loire (EDL),217,France,Energy & Utilities,38023995,1193962,64,5,2018
40,Strelec Gruppe,216.9,Germany,Electrical Manufacturing,11891367,373711,13,1,2018
41,Spotlag,215.6,France,"Professional, Scientific & Technical Services",3919567,124633,25,3,2019
42,KCS C&C,214.3,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,27889623,870030,21,5,2020
43,Oxford Summer Courses,212.8,United Kingdom of Great Britain and Northern Ireland,Education & Social Services,13245082,419294,25,29,2012
44,NLIST,208.2,"Netherlands, Kingdom of the",Employment Services,10209062,348810,10,2,2018
45,Daintta,207.5,United Kingdom of Great Britain and Northern Ireland,IT & Software,6940088,231265,41,4,2019
46,Target Travel,206.9,Italy,Hospitality & Travel,12113678,419271,21,13,1985
47,Konversational,206.8,Ireland,IT & Software,4584257,158805,37,6,2020
48,Wallester,206.5,Estonia,"Fintech, Financial Services & Insurance",9140000,317380,126,3,2016
49,Imprendiroma,204.5,Italy,Construction & Engineering,113724639,4028192,42,14,2008
50,PureXtracts,204.4,United Kingdom of Great Britain and Northern Ireland,Ecommerce,2995433,102912,5,2,2005
51,Vagabondo Viaggi,203.9,Italy,Hospitality & Travel,4695705,167304,13,6,2010
52,Veesion,203.4,France,IT & Software,5616692,201134,100,9,2018
53,Busforfun.com,201.7,Italy,Leisure & Entertainment,6723302,244891,30,6,2015
54,Sinergies,201.4,Italy,Energy & Utilities,14114960,515625,4,1,2013
55,Internet Up,200.5,Germany,Ecommerce,13347927,491667,26,2,2020
56,Tecnogreen,199.5,Italy,Energy & Utilities,3429282,127616,14,1,2020
57,Ticketsms,199.4,Italy,IT & Software,6802484,253341,26,7,2017
58,Glow25,199,Germany,Ecommerce,82786067,3098406,85,12,2017
59,Townhouse Group Limited,198.1,United Kingdom of Great Britain and Northern Ireland,Health Care & Life Sciences,7637556,279210,453,36,2020
60,Walr,197.9,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",13056503,478246,40,2,2020
61,Nameless Festival,197.5,Italy,Leisure & Entertainment,6267275,238139,7,1,2015
62,Padel Horizon & Wave in Paris,196.9,France,Leisure & Entertainment,3039491,116175,26,12,2014
63,Candidate Flow,195.2,Germany,Advertising & Marketing,10288107,400114,26,6,2020
64,Creation,192.3,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,13428814,520783,49,2,2017
65,Energetica Store,191.8,Italy,Energy & Utilities,3484508,140222,2,1,2009
66,Capitole Energie,191.7,France,Management consulting,18748685,755170,21,5,2017
67,Woltair,191.2,Czechia,Energy & Utilities,51579064,1965099,320,38,2018
68,CAMS Servizi Edili,190.5,Italy,Construction & Engineering,34667108,1413575,49,6,2018
69,Epicode,189.2,Italy,Education & Social Services,4983000,206000,15,1,2020
70,Winkler Personalservice,188.1,Germany,Employment Services,11500000,481000,300,20,2020
71,DAC.digital,186.7,Poland,IT & Software,7791742,314711,109,26,2016
72,BSport,185.5,France,IT & Software,4053089,174166,70,12,2018
73,Solidstudio,184.9,Poland,IT & Software,3339139,137410,43,6,2017
74,Kaizzen,184.6,France,IT & Software,3956223,171609,19,2,2019
75,Parama,184,Italy,Ecommerce,5496380,239848,9,5,2020
76,Aqualy,183.5,Italy,Food & Beverages,6208641,272399,15,5,2019
77,Ancient + Brave,183.4,United Kingdom of Great Britain and Northern Ireland,Health Care & Life Sciences,11762224,500574,29,3,2018
78,Lifeaz,181.9,France,Wholesale,4448058,198640,33,19,2015
79,Euro Impianti 20,180.5,Italy,Construction & Engineering,7257089,328903,93,11,2020
80,Koll Facility Management & Projektabwicklung,179.7,Germany,Construction & Engineering,7914834,361866,4,2,2011
81,Kicket.com,179,Poland,Leisure & Entertainment,4469652,195749,10,8,2015
82,Finanza.tech,177.6,Italy,"Fintech, Financial Services & Insurance",9986549,466612,39,17,2012
83,Skinport,177.1,Germany,IT & Software,19498648,916668,11,1,2018
84,WeDiscover,176.7,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,2551307,116660,25,3,2020
85,Inpulse,175.9,France,"Professional, Scientific & Technical Services",2100979,100076,35,6,2018
86,Solar Energy Mitte,175.2,Germany,Energy & Utilities,13111248,628778,25,8,2011
87,Coccia Costruzioni,172.2,Italy,Construction & Engineering,111628943,5535649,60,15,2008
88,Foredil,169.8,Italy,Construction & Engineering,67135748,3418950,21,22,2014
89,MCS Formulas,168.1,"Netherlands, Kingdom of the",Food & Beverages,2025431,105120,5,1,2019
90,Veremark,165,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",4259894,221815,122,13,2018
91,Energy Solutions,164.4,Italy,Energy & Utilities,39524930,2138536,21,3,2017
92,O.C. Hairsystems,163.5,Germany,"Professional, Scientific & Technical Services",7866985,430088,75,5,2019
93,BeInfluence Europe,160.1,Belgium,Advertising & Marketing,3870700,220000,28,6,2019
94,Time Vision,159,Italy,Education & Social Services,2216148,127616,40,6,2019
95,Appostrophe,157.5,Sweden,IT & Software,9983050,647768,10,2,2016
96,Yoto,157.4,United Kingdom of Great Britain and Northern Ireland,IT & Software,58814859,3339096,113,28,2015
97,RG Finance,156.8,Germany,Management consulting,3023161,178538,18,6,2019
98,PromoXL,155.9,"Netherlands, Kingdom of the",Advertising & Marketing,1872111,111751,5,2,2020
99,Jobtech,155.6,Italy,Employment Services,1801040,107805,44,14,2019
100,Vanbat,155,Italy,Waste Management & recycling,10818963,652534,6,2,2017
101,Mac Recruit Group,155,United Kingdom of Great Britain and Northern Ireland,Employment Services,4809501,281083,10,6,2018
102,La Belle Equipe,154.9,France,Employment Services,5395658,325852,17,6,2018
103,Snowit,154.3,Italy,Leisure & Entertainment,14090000,856800,42,13,2016
104,Newark Engineering,154.2,Italy,Construction & Engineering,19390899,1180547,13,2,2009
105,X-Win,153.8,Italy,Energy & Utilities,34644195,2119511,10,6,2013
106,Work4You,151.9,France,"Professional, Scientific & Technical Services",20087760,1257163,51,0,2018
107,Wild Cosmetics,151.7,United Kingdom of Great Britain and Northern Ireland,Ecommerce,52835133,3210580,71,10,2020
108,Radical Storage,151.7,Italy,Hospitality & Travel,4471293,280477,15,15,2016
109,Enerix Westerwald-Bonn,150.4,Germany,Electrical Manufacturing,31018181,1975010,176,21,2020
110,Moneybox,148.3,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",89097799,5637405,333,171,2015
111,Revù clinic,145,Lithuania,Health Care & Life Sciences,5371651,365091,83,17,2013
112,Titanbay,143.6,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",1884678,126261,50,15,2019
113,Flease,142.4,France,"Professional, Scientific & Technical Services",5355589,376203,20,4,2018
114,Tecnologie Edili,141.9,Italy,Construction & Engineering,4616358,326027,18,3,2008
115,181travel,141.3,Italy,Hospitality & Travel,1928434,137285,14,4,2015
116,DCF Verlag,141.2,Germany,Media & Telecommunications,4386932,312487,19,5,2019
117,Gamian Consulting,140.9,Italy,Management consulting,3672689,262660,14,4,2007
118,Hydrogen-Refueling-Solutions (HRS),140,France,Metals & Mining,30082007,2175916,122,29,2004
119,Archingest,139.5,Italy,Construction & Engineering,48327521,3517395,16,6,2005
120,Zappyrent,139.4,Italy,IT & Software,1810000,132000,34,9,2019
121,RoomPriceGenie,139.3,Switzerland,IT & Software,3748017,234897,69,24,2019
122,FinStart,139,France,Management consulting,8663629,634223,15,3,2020
123,REGION10 GROUP,138.6,Germany,"Professional, Scientific & Technical Services",1619755,119203,14,2,2017
124,Binalyze,137,Estonia,IT & Software,1502182,112828,80,9,2018
125,Apricus Solar,136.8,Germany,Energy & Utilities,16585387,1248682,32,8,2014
126,Löwenanteil,135.9,Germany,Ecommerce,21001640,1599803,25,4,2017
127,Cashback XL,135.8,"Netherlands, Kingdom of the",Advertising & Marketing,18620276,1421000,35,16,2013
128,Go4Sea,135.6,Italy,Hospitality & Travel,7344479,561297,17,12,2013
129,Route220,134.4,Italy,IT & Software,5571000,432300,22,12,2014
130,IoT Venture,133.6,Germany,IT & Software,16200000,1270415,48,23,2016
131,Moonwards,133.1,Germany,Ecommerce,3008396,237611,3,2,2018
132,XAAS,132.9,Germany,IT & Software,8792000,696307,17,8,2011
133,Rite NRG,132.4,Poland,IT & Software,3373428,255580,72,11,2017
134,SO FAST SO GOOD,132.4,France,Food & Beverages,6729600,535969,72,39,2015
135,Gaia,132.4,United Kingdom of Great Britain and Northern Ireland,IT & Software,3176272,245167,30,5,2017
136,Inex One,132.3,Sweden,"Professional, Scientific & Technical Services",5455536,481967,17,14,2018
137,Mawave Marketing,132.2,Germany,Advertising & Marketing,6527360,521170,98,16,2018
138,Proxify,131.7,Sweden,"Professional, Scientific & Technical Services",36563657,3255570,145,15,2018
139,The Pantheon Iconic Rome Hotel,131.7,Italy,Hospitality & Travel,16885118,1357663,66,63,2016
140,Novibet,131.7,Malta,Leisure & Entertainment,173890506,13988595,884,338,2016
141,My American Shop,131.4,Belgium,Ecommerce,10897046,879158,23,1,2020
142,Acteam Enr,131,France,Energy & Utilities,26316627,2133691,33,6,2012
143,Russo Casa,131,Italy,Construction & Engineering,1652058,134011,5,1,2018
144,Mia Burton,130.6,Italy,Ecommerce,7453310,607522,24,26,2019
145,Seals Group,130.5,Germany,"Professional, Scientific & Technical Services",3949568,322425,35,3,2020
146,NextCom,130.2,Greece,IT & Software,16339328,1338643,48,11,2000
147,Bears with Benefits,128.5,Germany,Pharmaceuticals & Cosmetics,31044809,2602468,45,6,2018
148,INNOVO,127.7,United Kingdom of Great Britain and Northern Ireland,Energy & Utilities,6785233,556423,2,2,2016
149,AMPECO,127.4,Bulgaria,IT & Software,3684881,313422,92,11,2018
150,Wafflemeister,127.4,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,12157090,1002014,18,20,2017
151,PhotoAid,127.1,Poland,IT & Software,8914001,723673,12,5,2012
152,alerabat.com,126.8,Poland,Advertising & Marketing,19829328,1616164,39,32,2015
153,GreenFeedCycles,126.4,Italy,Wholesale,14407072,1241858,4,1,2019
154,Labs2Life SrL,126.3,Italy,Construction & Engineering,1560000,134654,4,3,2020
155,54,126.1,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,179932498,15084275,90,25,2015
156,Sensoneo,125.5,Slovakia,Waste Management & recycling,8531937,743826,108,29,2017
157,Love Finance,124.8,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",5477483,467083,43,7,2012
158,Silverstream Technologies,124.6,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",59316301,5236687,135,27,2012
159,AssiBro - Broker di Assicurazioni,123.6,Italy,"Fintech, Financial Services & Insurance",1501250,134269,17,4,2019
160,Xceed,123.3,Italy,Leisure & Entertainment,3462645,310790,25,12,2014
161,Chāmpo,123,United Kingdom of Great Britain and Northern Ireland,Retail,16212325,1416792,8,2,2019
162,VencoTec Solar,122.6,Germany,Energy & Utilities,5510092,499349,35,1,2009
163,Globalis Viagens e Eventos Corporativos,122.3,Portugal,Hospitality & Travel,23198154,2113061,22,19,2015
164,Wingstop UK,121.9,United Kingdom of Great Britain and Northern Ireland,Hospitality & Travel,97379237,8628104,2000,800,2017
165,Erasmus Learning Academy,121.3,Italy,Education & Social Services,1757450,162114,5,3,2020
166,LemonSistemi,120.7,Italy,Construction & Engineering,13882480,1290564,57,10,2009
167,KONTAX,120.2,Germany,Management consulting,10585000,992000,120,15,2019
168,Adrenalead,120.1,France,Advertising & Marketing,4800000,450000,18,6,2018
169,Refinery 89,120.1,"Netherlands, Kingdom of the",Advertising & Marketing,22065000,2069000,44,5,2018
170,Greenvest ESCo,119.8,Italy,Energy & Utilities,41400000,3900000,65,65,2011
171,Devot,119.7,Croatia,IT & Software,6695052,631490,36,10,2016
172,IT Squad,119.2,Poland,IT & Software,3319919,300080,100,10,2020
173,Ison Travel,119.1,United Kingdom of Great Britain and Northern Ireland,Hospitality & Travel,46277890,4264134,78,13,2013
174,ClearBank,118.9,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",128432588,11866294,587,257,2015
175,Eb Facility,118.4,Italy,Manufacturing,4649752,446431,33,15,2020
176,Time Vision,117.1,Italy,Education & Social Services,7025621,686652,53,64,2012
177,Extracadabra,116.5,France,Employment Services,17491101,1723049,66,28,2015
178,IKEHU Energy,115.9,"Netherlands, Kingdom of the",Energy & Utilities,30075687,2986783,18,4,2017
179,Friulia,115.3,Italy,"Fintech, Financial Services & Insurance",135547727,13582535,26,28,1967
180,KB CARS,115.2,Germany,Automotive,18975929,1903552,2,2,2009
181,Salabam Solutions,115.2,Italy,Hospitality & Travel,21065206,2113275,19,8,2015
182,Vers-Kompass,115.1,Germany,"Fintech, Financial Services & Insurance",3087000,310143,35,10,2020
183,Cambridge Spark,114.9,United Kingdom of Great Britain and Northern Ireland,Education & Social Services,15699432,1532552,125,17,2016
184,Ingag,114.8,Italy,Construction & Engineering,2875668,290050,4,3,2015
185,Smart Future,114.6,Italy,"Professional, Scientific & Technical Services",7011316,709028,10,5,2012
186,Birdie,114.2,United Kingdom of Great Britain and Northern Ireland,Health Care & Life Sciences,8295350,817903,167,65,2017
187,THE NEWCO,113.5,Italy,IT & Software,4632021,476172,25,5,2018
188,Knoops,113.4,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,10723106,1069549,244,38,2019
189,Undress Code,113.3,Poland,Apparel & Fashion,2126004,208336,10,4,2015
190,Aircash,113.1,Croatia,"Fintech, Financial Services & Insurance",35286000,3643811,91,9,2015
191,BidBerry,112.5,Italy,Advertising & Marketing,13329227,1388986,7,1,2018
192,Link Group,112.2,Poland,IT & Software,38124012,3795097,565,142,2016
193,Schüttflix,112.2,Germany,Construction & Engineering,126123395,13206175,199,40,2018
194,Opyn,112,Italy,"Fintech, Financial Services & Insurance",39735066,4168221,87,19,2012
195,Ruffato Mario,111.8,Italy,Construction & Engineering,74084707,7796760,32,30,1985
196,The Alliance,111.7,United Kingdom of Great Britain and Northern Ireland,Media & Telecommunications,14947715,1526241,104,8,2019
197,Iceye,111.7,Finland,Aerospace & Defence,89652000,9450000,575,235,2014
198,JSE,111.5,Germany,IT & Software,1857262,196242,12,2,2009
199,Travel Compositor,111.2,Spain,IT & Software,28540342,3028235,68,41,2014
200,AscentCore,111,Romania,IT & Software,9150530,973790,127,21,2017
201,GB Audio,110.9,Italy,"Professional, Scientific & Technical Services",2410224,257091,21,21,2016
202,Pilgrim,110.8,France,Construction & Engineering,24334484,2596557,12,2,2019
203,Gift & Go,110.7,United Kingdom of Great Britain and Northern Ireland,IT & Software,37816767,3917464,15,6,2017
204,Emerald Technology,110.1,United Kingdom of Great Britain and Northern Ireland,Employment Services,18257495,1906145,34,35,2000
205,Pectech,110.1,Italy,Wholesale,2188177,235964,2,1,2019
206,Wealthon,109.7,Poland,"Fintech, Financial Services & Insurance",2211385,228145,69,9,2018
207,SKY-NRG,109.7,Italy,Energy & Utilities,59381437,6439935,56,35,2007
208,Sabor A España,109.5,Spain,Retail,15509297,1687612,305,45,2009
209,The People Branding Company,109.4,Germany,Advertising & Marketing,2402711,261577,22,3,2020
210,Finish Pack,109.4,Germany,Apparel & Fashion,8152371,887793,140,30,2017
211,LAB Productions,108.3,France,Mechanical & Plant Engineering,5620120,622108,10,5,2018
212,Dama Electric,107.9,Italy,Construction & Engineering,10408328,1158718,50,18,2017
213,DATAPAO,107.3,Hungary,IT & Software,3258592,386718,34,6,2016
214,Matera,107,France,Real Estate,12368519,1393905,155,94,2017
215,LGG Advisors,106.9,Portugal,"Professional, Scientific & Technical Services",2007824,226856,45,10,2008
216,Manelli Impresa,106.5,Italy,Construction & Engineering,234092359,26580798,832,258,2008
217,HeizOel24 - interaid,106,Germany,IT & Software,36123603,4134227,15,12,2005
218,Draivi,105.8,Finland,"Fintech, Financial Services & Insurance",17125832,1964068,19,10,2012
219,Energy Boost Energie,105.2,Italy,Energy & Utilities,11245209,1300971,15,13,2011
220,Sciuker Frames,105.1,Italy,Construction & Engineering,164927000,19105000,613,129,1996
221,Emme Costruzioni Generali,104.3,Italy,Construction & Engineering,1668573,195704,13,3,2018
222,iplicit,104.3,United Kingdom of Great Britain and Northern Ireland,IT & Software,3718400,422623,87,37,2010
223,Grantify,103.8,United Kingdom of Great Britain and Northern Ireland,IT & Software,9620622,1100995,70,20,2019
224,BcodeAutomation,103.7,Italy,IT & Software,2685781,317879,14,5,2017
225,ITHQ,103.4,United Kingdom of Great Britain and Northern Ireland,IT & Software,4822740,555121,15,6,2008
226,Moasure,102.9,United Kingdom of Great Britain and Northern Ireland,Electrical Manufacturing,14026619,1626437,31,4,2014
227,Histaminikus,102.3,Germany,Ecommerce,1855510,224068,23,5,2019
228,Zahnheld,102.1,Germany,Ecommerce,7264575,880319,12,8,2017
229,Wehype,101.8,Sweden,Advertising & Marketing,18648168,2269913,45,16,2016
230,AVENTOS Group,100.6,Germany,Real Estate,6190243,767193,21,7,2019
231,waskostetmeinauto.com,100.5,Germany,Automotive,3453566,428575,2,1,2016
232,Stoov,100.1,"Netherlands, Kingdom of the",Ecommerce,43288406,5406593,44,4,2014
233,Fratelli Ettore & Carlo Barattelli,100,Italy,Construction & Engineering,44619270,5579496,31,16,2004
234,Enfuse Group,99.5,United Kingdom of Great Britain and Northern Ireland,Management consulting,8340314,1017673,34,5,2016
235,Procept,99.5,France,Mechanical & Plant Engineering,7218483,909304,15,6,2016
236,Talentlotsen,99.4,Germany,Employment Services,4492987,566341,35,12,2017
237,reanmo,99.4,Germany,IT & Software,2299515,290198,29,6,2019
